FLWS	1-800 FLOWERS.COM	FLWS Profile	FLWS Analysis
ADS	ALLIANCE DATA SYSTEMS	ADS Profile	ADS Analysis
AFOP	Alliance Fiber Optic Products Inc.	AFOP Profile	AFOP Analysis
AIQ	ALLIANCE HEALTH CARE	AIQ Profile	AIQ Analysis
AOI	ALLIANCE ONE	AOI Profile	AOI Analysis
LNT	ALLIANT ENERGY	LNT Profile	LNT Analysis
ATK	ALLIANT TECHSYSTEMS	ATK Profile	ATK Analysis
ANV	ALLIED NEVADA GOLD CORP	ANV Profile	ANV Analysis
AWH	ALLIED WORLD ASSURANCE	AWH Profile	AWH Analysis
ALSN	ALLISON TRANSMISSION	ALSN Profile	ALSN Analysis
MDRX	ALLSCRIPTS-MISYS	MDRX Profile	MDRX Analysis
AFAM	ALMOST FAMILY	AFAM Profile	AFAM Analysis
ALNY	ALNYLAM PHARMACEUTICALS	ALNY Profile	ALNY Analysis
ALJ	ALON USA ENERGY	ALJ Profile	ALJ Analysis
AOSL	ALPHA & OMEGA	AOSL Profile	AOSL Analysis
ANR	ALPHA NATURAL RESOURCES	ANR Profile	ANR Analysis
ALTR	ALTERA	ALTR Profile	ALTR Analysis
AAMC	Altisource Asset Management Corporation	AAMC Profile	AAMC Analysis
ASPS	ALTISOURCE PORTFOLIO	ASPS Profile	ASPS Analysis
RESI	ALTISOURCE RESIDENTIAL CORP	RESI Profile	RESI Analysis
AIMC	ALTRA HOLDINGS	AIMC Profile	AIMC Analysis
MO	ALTRIA	MO Profile	MO Analysis
CAS	AM CASTLE	CAS Profile	CAS Analysis
AMAG	AMAG PHARMACEUTICALS	AMAG Profile	AMAG Analysis
AMZN	AMAZON.COM	AMZN Profile	AMZN Analysis
AMBC	Ambac Financial Group, Inc.	AMBC Profile	AMBC Analysis
AMBA	AMBARELLA INC	AMBA Profile	AMBA Analysis
AMC	AMC Entertainment Holdings, Inc.	AMC Profile	AMC Analysis
AMCX	AMC NETWORKS	AMCX Profile	AMCX Analysis
DOX	AMDOCS	DOX Profile	DOX Analysis
AMED	AMEDISYS	AMED Profile	AMED Analysis
UHAL	AMERCO	UHAL Profile	UHAL Analysis
AEE	AMEREN	AEE Profile	AEE Analysis
AMRC	AMERESCO	AMRC Profile	AMRC Analysis
ASEI	AMERICA SCIENCE & ENGINEERING	ASEI Profile	ASEI Analysis
AAL	American Airlines Group Inc.	AAL Profile	AAL Analysis
AAT	AMERICAN ASSETS TRUST	AAT Profile	AAT Analysis
AXL	AMERICAN AXLE & MFG HOLDINGS	AXL Profile	AXL Analysis
ACC	AMERICAN CAMPUS	ACC Profile	ACC Analysis
AGNC	AMERICAN CAPITAL AGENCY	AGNC Profile	AGNC Analysis
MTGE	AMERICAN CAPITAL MTG	MTGE Profile	MTGE Analysis
AEO	AMERICAN EAGLE	AEO Profile	AEO Analysis
AMZG	American Eagle Energy Corporation	AMZG Profile	AMZG Analysis
AEP	AMERICAN ELECTRIC POWER	AEP Profile	AEP Analysis
AEL	AMERICAN EQUITY INVEST	AEL Profile	AEL Analysis
AXP	AMERICAN EXPRESS	AXP Profile	AXP Analysis
AFG	AMERICAN FINANCIAL GROUP	AFG Profile	AFG Analysis
AIG	AMERICAN INTL	AIG Profile	AIG Analysis
NOW	AMERICAN INTL GROUP MARKET IND	NOW Profile	NOW Analysis
AMNB	AMERICAN NATIONAL	AMNB Profile	AMNB Analysis
ANAT	AMERICAN NATIONAL INSURANCE	ANAT Profile	ANAT Analysis
APEI	AMERICAN PUBLIC EDUCATION	APEI Profile	APEI Analysis
ARII	AMERICAN RAILCAR	ARII Profile	ARII Analysis
ARCP	AMERICAN REALTY CAPITAL	ARCP Profile	ARCP Analysis
ARC	AMERICAN REPROGRAPHICS	ARC Profile	ARC Analysis
ARPI	American Residential Properties, Inc.	ARPI Profile	ARPI Analysis
AMSWA	AMERICAN SOFTWARE	AMSWA Profile	AMSWA Analysis
AWR	AMERICAN STATES WATER	AWR Profile	AWR Analysis
AMT	AMERICAN TOWER	AMT Profile	AMT Analysis
AVD	AMERICAN VANGUARD	AVD Profile	AVD Analysis
AWK	AMERICAN WATER WORKS	AWK Profile	AWK Analysis
AMWD	AMERICAN WOODMARK	AMWD Profile	AMWD Analysis
CRMT	AMERICAS CAR-MART	CRMT Profile	CRMT Analysis
AMP	AMERIPRISE FINANCIAL	AMP Profile	AMP Analysis
ABCB	AMERIS BANCORP	ABCB Profile	ABCB Analysis
AMSF	AMERISAFE	AMSF Profile	AMSF Analysis
ABC	AMERISOURCEBERGEN	ABC Profile	ABC Analysis
AMH	AMERUS GROUP CO	AMH Profile	AMH Analysis
ATLO	Ames National Corporation	ATLO Profile	ATLO Analysis
AME	AMETEK	AME Profile	AME Analysis
AMGN	AMGEN	AMGN Profile	AMGN Analysis
AMKR	AMKOR TECH	AMKR Profile	AMKR Analysis
AHS	AMN HEALTH CARE SERVICES	AHS Profile	AHS Analysis
AP	AMPCO-PITTSBURGH	AP Profile	AP Analysis
APH	AMPHENOL	APH Profile	APH Analysis
AMPE	AMPIO PHARMACEUTICALS	AMPE Profile	AMPE Analysis
AMRE	AMREIT	AMRE Profile	AMRE Analysis
AMSG	AMSURG	AMSG Profile	AMSG Analysis
AFSI	AMTRUST FINANCIAL SERVICES	AFSI Profile	AFSI Analysis
AMRS	AMYRIS	AMRS Profile	AMRS Analysis
ANAC	ANACOR PHARMACEUTICALS	ANAC Profile	ANAC Analysis
APC	ANADARKO PETROLEUM	APC Profile	APC Analysis
ADI	ANALOG DEVICES	ADI Profile	ADI Analysis
ALOG	ANALOGIC	ALOG Profile	ALOG Analysis
ANDE	ANDERSONS	ANDE Profile	ANDE Analysis
ANGI	ANGIES LIST	ANGI Profile	ANGI Analysis
ANGO	ANGIODYNAMICS	ANGO Profile	ANGO Analysis
ANIP	ANI Pharmaceuticals, Inc.	ANIP Profile	ANIP Analysis
ANIK	ANIKA THERAPEUTICS	ANIK Profile	ANIK Analysis
AXE	ANIXTER INTL	AXE Profile	AXE Analysis
ANN	ANN	ANN Profile	ANN Analysis
NLY	ANNALY CAPITAL	NLY Profile	NLY Analysis
BNNY	ANNIE'S	BNNY Profile	BNNY Analysis
ANSS	ANSYS	ANSS Profile	ANSS Analysis
ATRS	Antares Pharma Inc.	ATRS Profile	ATRS Analysis
AR	Antero Resources Corporation	AR Profile	AR Analysis
ANH	ANWORTH MTG ASSET	ANH Profile	ANH Analysis
AOS	AO SMITH	AOS Profile	AOS Analysis
AOL	AOL	AOL Profile	AOL Analysis
AON	AON	AON Profile	AON Analysis
APA	APACHE	APA Profile	APA Analysis
AIV	APARTMENT INVESTMENT	AIV Profile	AIV Analysis
APAGF	Apco Oil & Gas International Inc.	APAGF Profile	APAGF Analysis
APOG	APOGEE ENTERPRISES	APOG Profile	APOG Analysis
ARI	APOLLO COMMERCIAL	ARI Profile	ARI Analysis
APOL	APOLLO GROUP	APOL Profile	APOL Analysis
AMTG	APOLLO RESIDENTIAL	AMTG Profile	AMTG Analysis
AAPL	APPLE	AAPL Profile	AAPL Analysis
AIT	APPLIED INDUSTRIAL	AIT Profile	AIT Analysis
AMAT	APPLIED MATERIALS	AMAT Profile	AMAT Analysis
AMCC	APPLIED MICRO CIRCUITS	AMCC Profile	AMCC Analysis
AAOI	Applied Optoelectronics, Inc.	AAOI Profile	AAOI Analysis
AREX	APPROACH RESOURCES	AREX Profile	AREX Analysis
ATR	APTARGROUP	ATR Profile	ATR Analysis
WTR	AQUA AMERICA	WTR Profile	WTR Analysis
ARMK	ARAMARK Holdings Corporation	ARMK Profile	ARMK Analysis
PETX	Aratana Therapeutics, Inc.	PETX Profile	PETX Analysis
ARCW	ARC Group Worldwide, Inc.	ARCW Profile	ARCW Analysis
ACGL	ARCH CAPITAL GROUP	ACGL Profile	ACGL Analysis
ACI	ARCH COAL	ACI Profile	ACI Analysis
ADM	ARCHER-DANIELS MIDLAND	ADM Profile	ADM Analysis
ACAT	ARCTIC CAT	ACAT Profile	ACAT Analysis
ARNA	ARENA PHARMACEUTICALS	ARNA Profile	ARNA Analysis
ACRE	ARES COMMERCIAL REAL	ACRE Profile	ACRE Analysis
AGX	ARGAN	AGX Profile	AGX Analysis
AGII	ARGO GROUP INTL	AGII Profile	AGII Analysis
ARIA	ARIAD PHARMACEUTICALS	ARIA Profile	ARIA Analysis
AI	ARLINGTON ASSET INVESTMENT	AI Profile	AI Analysis
